latitude,longitude,bright_ti4,scan,track,acq_date,acq_time,confidence,bright_ti5,frp,daynight,type,month,year,season,low_confidence,nearest_landuse_class,distance_to_landuse_m,worldcover_class,jharkhand_district,label_final,ti_diff,log_frp,month_sin,month_cos,hour,hour_sin,hour_cos,daynight_bin,low_confidence_int,confidence_ordinal,source_cluster_id,n_detections_at_source,unique_days_active,days_active_span,predicted_class,prediction_confidence,prob_agricultural_burning,prob_forest_fire,prob_industrial,prob_quarry_mining,prob_vegetation_fire_open_scrub
23.67941,86.39391,304.6,0.32,0.55,2022-01-01,1919,n,285.52,1.11,N,2,1,2022,Winter,False,No OSM match,800.6,Grassland,Dhanbad,Unclassified,19.08000000000004,0.7466879474879752,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7029_25646,140,129,703,Industrial,0.8260222,0.0016564473,0.0054105404,0.8260222,0.13414219,0.032768607
23.68023,86.09454,296.99,0.34,0.56,2022-01-01,1919,n,283.91,0.7,N,2,1,2022,Winter,False,No OSM match,699.4,Bare/sparse vegetation,Bokaro,Unclassified,13.079999999999984,0.5306282510621704,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7029_25557,311,260,728,Industrial,0.99831295,6.0303395e-05,0.00030824012,0.99831295,0.000838316,0.0004802447
23.68056,86.09116,300.73,0.34,0.56,2022-01-01,1919,n,284.92,1.34,N,2,1,2022,Winter,False,No OSM match,743.4,Bare/sparse vegetation,Bokaro,Unclassified,15.810000000000002,0.8501509293696101,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7029_25556,144,136,717,Industrial,0.99796534,7.747096e-05,0.00038278085,0.99796534,0.0008784155,0.0006960389
23.68122,86.0844,303.03,0.34,0.56,2022-01-01,1919,n,286.26,0.78,N,2,1,2022,Winter,False,No OSM match,1041.5,Bare/sparse vegetation,Bokaro,Unclassified,16.769999999999982,0.5766133643039938,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7029_25554,318,276,728,Industrial,0.998835,7.514964e-05,0.00020074872,0.998835,0.00063909,0.00024995068
23.68164,86.39423,314.52,0.32,0.55,2022-01-01,1919,n,285.68,1.44,N,2,1,2022,Winter,False,No OSM match,564.4,Bare/sparse vegetation,Dhanbad,Unclassified,28.83999999999997,0.8919980393051105,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7029_25646,140,129,703,Industrial,0.78928214,0.0024510936,0.0046498394,0.78928214,0.15883777,0.04477918
23.68197,86.39094,299.16,0.32,0.55,2022-01-01,1919,n,285.07,3.06,N,2,1,2022,Winter,False,No OSM match,539.3,Grassland,Dhanbad,Unclassified,14.090000000000032,1.4011829736136412,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7030_25645,376,315,727,Quarry/Mining,0.99623007,0.000101378064,0.00037984215,0.0021874576,0.99623007,0.0011012631
23.68512,86.38798,295.08,0.32,0.55,2022-01-01,1919,n,284.46,2.82,N,2,1,2022,Winter,False,No OSM match,509.7,Grassland,Dhanbad,Unclassified,10.620000000000005,1.3402504226184837,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7031_25644,254,239,720,Quarry/Mining,0.9972459,7.080047e-05,0.00019788806,0.0013577612,0.9972459,0.0011276543
23.69021,86.38866,320.63,0.32,0.55,2022-01-01,1919,n,288.64,2.82,N,2,1,2022,Winter,False,No OSM match,583.3,Bare/sparse vegetation,Dhanbad,Unclassified,31.99000000000001,1.3402504226184837,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7032_25644,276,247,728,Quarry/Mining,0.99560344,0.00011613924,0.00018954338,0.0028264476,0.99560344,0.0012643934
23.71285,85.28421,296.36,0.38,0.59,2022-01-01,1919,n,282.78,0.32,N,2,1,2022,Winter,False,No OSM match,609.0,Bare/sparse vegetation,Hazaribagh,Unclassified,13.58000000000004,0.2776317365982795,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7039_25316,26,26,400,Quarry/Mining,0.56311226,0.071276,0.05870021,0.15813151,0.56311226,0.14878002
23.71577,86.44427,303.54,0.32,0.55,2022-01-01,1919,n,285.61,1.11,N,2,1,2022,Winter,False,No OSM match,1854.7,Bare/sparse vegetation,Dhanbad,Unclassified,17.930000000000007,0.7466879474879752,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7040_25661,159,153,726,Vegetation fire (open/scrub),0.7278316,0.0010295068,0.0057882927,0.20177273,0.06357784,0.7278316
23.72053,86.4482,309.99,0.32,0.55,2022-01-01,1919,n,289.88,1.18,N,2,1,2022,Winter,False,No OSM match,1744.9,Bare/sparse vegetation,Dhanbad,Unclassified,20.110000000000014,0.7793248768009976,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7041_25662,264,238,722,Vegetation fire (open/scrub),0.9805596,0.0004694049,0.0016985348,0.006978918,0.010293517,0.9805596
23.72084,86.44495,302.01,0.32,0.55,2022-01-01,1919,n,287.83,1.18,N,2,1,2022,Winter,False,No OSM match,1466.4,Bare/sparse vegetation,Dhanbad,Unclassified,14.180000000000009,0.7793248768009976,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7041_25661,174,162,728,Vegetation fire (open/scrub),0.790023,0.00081856205,0.004149115,0.12222513,0.08278424,0.790023
23.72116,86.44171,306.97,0.32,0.55,2022-01-01,1919,n,289.88,0.98,N,2,1,2022,Winter,False,No OSM match,1215.1,Bare/sparse vegetation,Dhanbad,Unclassified,17.090000000000032,0.6830968447064438,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7041_25660,198,180,728,Vegetation fire (open/scrub),0.79149306,0.0012308799,0.005699782,0.12395532,0.077621005,0.79149306
23.72624,86.44235,301.34,0.32,0.55,2022-01-01,1919,n,287.87,0.98,N,2,1,2022,Winter,False,No OSM match,905.0,Bare/sparse vegetation,Dhanbad,Unclassified,13.46999999999997,0.6830968447064438,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7043_25660,72,71,725,Vegetation fire (open/scrub),0.7392254,0.0025700543,0.008527721,0.039110523,0.21056627,0.7392254
23.72656,86.43911,308.88,0.32,0.55,2022-01-01,1919,n,287.38,0.98,N,2,1,2022,Winter,False,No OSM match,602.2,Bare/sparse vegetation,Dhanbad,Unclassified,21.5,0.6830968447064438,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7043_25659,64,62,723,Vegetation fire (open/scrub),0.5568005,0.0061215614,0.013444177,0.14547054,0.27816325,0.5568005
23.74879,86.42239,300.06,0.32,0.55,2022-01-01,1919,n,286.24,0.69,N,2,1,2022,Winter,False,No OSM match,1950.7,Bare/sparse vegetation,Dhanbad,Unclassified,13.819999999999991,0.5247285289349821,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7049_25654,168,163,729,Industrial,0.9062266,0.0003137382,0.0026255653,0.9062266,0.004577888,0.08625621
23.74942,86.416,304.28,0.32,0.55,2022-01-01,1919,n,284.34,1.17,N,2,1,2022,Winter,False,No OSM match,2104.9,Grassland,Dhanbad,Unclassified,19.94,0.7747271675523681,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7050_25652,124,119,724,Industrial,0.98898065,0.00015655221,0.0032752098,0.98898065,0.00182647,0.005761121
23.75047,85.85518,298.41,0.35,0.57,2022-01-01,1919,n,286.52,0.85,N,2,1,2022,Winter,False,No OSM match,1686.3,Bare/sparse vegetation,Bokaro,Unclassified,11.890000000000043,0.6151856390902335,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7050_25486,126,126,726,Industrial,0.8266376,0.00096636533,0.007813743,0.8266376,0.030568361,0.13401389
23.75419,86.41985,295.99,0.32,0.55,2022-01-01,1919,n,285.2,0.36,N,2,1,2022,Winter,False,No OSM match,1454.3,Bare/sparse vegetation,Dhanbad,Unclassified,10.79000000000002,0.3074846997479606,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7051_25654,11,10,239,Vegetation fire (open/scrub),0.6204731,0.022528334,0.017540643,0.3307245,0.008733465,0.6204731
23.75451,86.41666,296.38,0.32,0.55,2022-01-01,1919,n,285.51,0.36,N,2,1,2022,Winter,False,No OSM match,1590.1,Bare/sparse vegetation,Dhanbad,Unclassified,10.870000000000005,0.3074846997479606,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7051_25653,142,135,717,Industrial,0.9259481,0.0006200762,0.003965618,0.9259481,0.0033953937,0.0660708
23.75574,85.85598,310.64,0.35,0.57,2022-01-01,1919,n,285.49,0.81,N,2,1,2022,Winter,False,No OSM match,1534.1,Grassland,Bokaro,Unclassified,25.149999999999977,0.5933268452777344,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7051_25486,123,117,702,Industrial,0.79514766,0.0020836303,0.00973404,0.79514766,0.028316287,0.16471839
23.75607,85.85239,295.88,0.35,0.57,2022-01-01,1919,n,284.37,0.81,N,2,1,2022,Winter,False,No OSM match,1900.8,Bare/sparse vegetation,Bokaro,Unclassified,11.509999999999993,0.5933268452777344,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7052_25485,118,113,728,Industrial,0.8001204,0.0013656506,0.007629077,0.8001204,0.054931793,0.13595308
23.75645,86.39707,310.11,0.32,0.55,2022-01-01,1919,n,286.02,2.03,N,2,1,2022,Winter,False,No OSM match,1210.5,Bare/sparse vegetation,Dhanbad,Unclassified,24.090000000000032,1.1085626195212777,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7052_25647,191,182,727,Industrial,0.4308697,0.0021921166,0.007358173,0.4308697,0.27568838,0.28389165
23.7596,86.4173,300.04,0.32,0.55,2022-01-01,1919,n,285.41,0.36,N,2,1,2022,Winter,False,No OSM match,1131.3,Bare/sparse vegetation,Dhanbad,Unclassified,14.629999999999995,0.3074846997479606,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7053_25653,47,46,629,Industrial,0.8483493,0.0009097731,0.008997744,0.8483493,0.0066235233,0.13511972
23.76102,85.85653,300.32,0.35,0.57,2022-01-01,1919,n,283.96,0.81,N,2,1,2022,Winter,False,No OSM match,1611.5,Bare/sparse vegetation,Bokaro,Unclassified,16.360000000000014,0.5933268452777344,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7053_25486,77,71,717,Industrial,0.55507857,0.006900203,0.01276748,0.55507857,0.008262124,0.41699162
23.76187,86.39449,304.58,0.32,0.55,2022-01-01,1919,n,287.33,0.9,N,2,1,2022,Winter,False,No OSM match,665.2,Bare/sparse vegetation,Dhanbad,Unclassified,17.25,0.6418538861723948,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7053_25646,118,116,700,Quarry/Mining,0.72122204,0.0014504447,0.0074308314,0.14057703,0.72122204,0.12931961
23.76219,86.39125,297.09,0.33,0.55,2022-01-01,1919,n,286.08,0.9,N,2,1,2022,Winter,False,No OSM match,829.2,Bare/sparse vegetation,Dhanbad,Unclassified,11.009999999999993,0.6418538861723948,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7053_25645,36,36,708,Industrial,0.5161577,0.005318089,0.012408543,0.5161577,0.28260446,0.18351126
23.76728,86.39192,317.95,0.33,0.55,2022-01-01,1919,n,291.0,1.17,N,2,1,2022,Winter,False,No OSM match,531.8,Bare/sparse vegetation,Dhanbad,Unclassified,26.94999999999999,0.7747271675523681,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7055_25645,300,269,727,Quarry/Mining,0.99568754,6.626398e-05,0.0002729239,0.0019171843,0.99568754,0.002056121
23.76761,86.38869,298.52,0.33,0.55,2022-01-01,1919,n,285.75,0.9,N,2,1,2022,Winter,False,No OSM match,861.0,Tree cover,Dhanbad,Unclassified,12.769999999999982,0.6418538861723948,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7055_25644,207,195,727,Industrial,0.93301755,0.00010616586,0.0006197749,0.93301755,0.053730737,0.01252575
23.77238,86.39259,299.19,0.33,0.55,2022-01-01,1919,n,287.46,1.17,N,2,1,2022,Winter,False,No OSM match,727.6,Bare/sparse vegetation,Dhanbad,Unclassified,11.730000000000018,0.7747271675523681,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7056_25645,182,175,729,Quarry/Mining,0.72388345,0.00046444614,0.0027713992,0.19028386,0.72388345,0.082596846
23.7727,86.38937,300.63,0.33,0.55,2022-01-01,1919,n,288.69,0.9,N,2,1,2022,Winter,False,No OSM match,990.9,Bare/sparse vegetation,Dhanbad,Unclassified,11.939999999999998,0.6418538861723948,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7057_25644,225,205,726,Industrial,0.9039389,0.0002232366,0.0009093744,0.9039389,0.07266497,0.022263492
23.77302,86.38615,299.14,0.33,0.55,2022-01-01,1919,n,286.63,0.9,N,2,1,2022,Winter,False,No OSM match,986.2,Bare/sparse vegetation,Dhanbad,Unclassified,12.509999999999993,0.6418538861723948,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7057_25644,225,205,726,Industrial,0.9312315,0.00015932988,0.0006144229,0.9312315,0.051891446,0.01610327
23.77486,86.21022,305.08,0.33,0.56,2022-01-01,1919,n,285.1,0.62,N,2,1,2022,Winter,False,No OSM match,1442.9,Bare/sparse vegetation,Dhanbad,Unclassified,19.97999999999996,0.4824261492442927,0.4999999999999999,0.8660254037844387,19,-0.9659258262890684,0.2588190451025203,0,0,1,7057_25591,317,249,708,Vegetation fire (open/scrub),0.78375816,0.0010243889,0.0013455903,0.16162446,0.05224745,0.78375816
