,precision,recall,f1-score,support
Agricultural burning,0.2693069306930693,0.43659711075441415,0.3331292100428659,623.0
Forest fire,0.9285329018338727,0.789588349959867,0.8534423994546694,8721.0
Industrial,0.9699610181151113,0.9120310478654593,0.9401044560506723,4638.0
Quarry/Mining,0.8539651837524178,0.9705963176696895,0.9085530546623795,3639.0
Vegetation fire (open/scrub),0.3237280504277353,0.47209455022980956,0.3840811965811966,1523.0
accuracy,0.8169139155871291,0.8169139155871291,0.8169139155871291,0.8169139155871291
macro avg,0.6690988169644413,0.716181475295848,0.6838620633583568,19144.0
weighted avg,0.8548270988930924,0.8169139155871291,0.830641211814326,19144.0
